date	turns	prompt_tokens	cached_prompt_tokens	completion_tokens	reasoning_tokens	cost_usd
2026-08-20T11:09:37Z	13	244466	208515	10189	2052	0.2335
2026-08-20T17:08:44Z	10	153948	128629	5811	1069	0.1471
2026-08-21T01:10:12Z	15	343411	302189	12435	5473	0.2878
2026-08-21T11:08:27Z	8	90744	72192	5466	665	0.1155
2026-08-21T17:08:44Z	8	104747	83096	6809	1521	0.1388
2026-08-22T01:08:25Z	8	89754	71314	5479	701	0.1151
2026-08-22T11:08:30Z	8	107520	85304	5955	937	0.1321
2026-08-22T17:08:28Z	7	80432	58958	5894	919	0.1244
2026-08-23T01:08:20Z	7	88352	66184	5564	635	0.1243
2026-08-23T11:08:34Z	8	103564	82277	6154	1071	0.1312
2026-08-23T17:09:34Z	8	120261	94558	11458	4701	0.1977
2026-08-24T01:13:47Z	17	977470	872573	39854	1952	0.8353
2026-08-24T11:07:59Z	7	57173	44693	1974	789	0.0599
2026-08-24T17:07:49Z	6	46168	33541	1723	594	0.0555
2026-08-25T01:13:51Z	16	733306	645123	42205	1491	0.7715
2026-08-25T11:09:32Z	12	168017	143340	9527	1305	0.1856
2026-08-25T17:15:43Z	20	987039	889674	55287	1209	0.9742
2026-08-26T01:45:31Z	38	2511734	2376604	281044	2363	3.6235
2026-08-26T11:57:57Z	50	2666499	2569570	371785	3316	4.4740
2026-08-26T17:10:23Z	17	594535	536393	11730	5393	0.3699
2026-08-27T01:09:41Z	14	343506	274717	7532	687	0.3022
